0 0	0
0 1	1
0 2	1
0 3	0
0 4	1
0 5	1
0 6	0
0 7	0
0 8	1
0 9	0
0 10	0
0 11	0
0 12	0
0 13	1
0 14	0
0 15	0
0 16	1
0 17	1
0 18	0
0 19	0
0 20	1
0 21	1
0 22	1
0 23	0
0 24	1
0 25	1
0 26	0
0 27	1
0 28	1
0 29	1
0 30	0
0 31	1
0 32	0
0 33	0
0 34	1
0 35	0
0 36	1
0 37	0
0 38	1
0 39	1
0 40	0
0 41	1
0 42	1
0 43	0
0 44	0
0 45	0
0 46	0
0 47	1
0 48	1
0 49	1
0 50	0
0 51	0
0 52	0
0 53	0
0 54	1
0 55	1
0 56	0
0 57	1
0 58	0
0 59	1
0 60	1
0 61	1
0 62	1
0 63	0
0 64	1
0 65	0
0 66	1
0 67	0
0 68	1
0 69	1
0 70	0
0 71	0
0 72	1
0 73	1
0 74	0
0 75	0
0 76	0
0 77	0
0 78	1
0 79	0
0 80	0
0 81	0
0 82	1
0 83	1
0 84	0
0 85	1
0 86	0
0 87	0
0 88	0
0 89	0
0 90	0
0 91	0
0 92	1
0 93	0
0 94	0
0 95	1
0 96	1
0 97	1
0 98	0
0 99	0
0 100	0
0 101	0
0 102	0
0 103	1
0 104	1
0 105	1
0 106	1
0 107	1
0 108	0
0 109	0
0 110	0
0 111	0
0 112	1
0 113	1
0 114	1
0 115	1
0 116	0
0 117	1
0 118	0
0 119	1
0 120	0
0 121	0
0 122	1
0 123	0
0 124	0
0 125	0
0 126	0
0 127	0
0 128	1
0 129	0
0 130	1
0 131	1
0 132	0
0 133	1
0 134	1
0 135	0
0 136	0
0 137	1
0 138	0
0 139	1
0 140	1
0 141	0
0 142	0
0 143	0
0 144	0
0 145	0
0 146	1
0 147	0
0 148	0
0 149	1
0 150	0
0 151	0
0 152	0
0 153	1
0 154	1
0 155	1
0 156	0
0 157	0
0 158	0
0 159	0
0 160	0
0 161	0
0 162	0
0 163	0
0 164	0
0 165	0
0 166	1
0 167	0
0 168	1
0 169	0
0 170	1
0 171	1
0 172	0
0 173	0
0 174	1
0 175	1
0 176	1
0 177	1
0 178	1
0 179	0
0 180	1
0 181	0
0 182	0
0 183	1
0 184	0
0 185	0
0 186	0
